"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2879","1456074_at","Sdr9c7","70061","4short chain dehydrogenase/reductase family 9C, member 7",-0.921028097686944,7.22425706525034,-5.29900008041484,2.19844679335744e-05,0.00648822037282605,2.81129190461758
"239","1417877_at","Eepd1","67484","endonuclease/exonuclease/phosphatase family domain containing 1",0.842383480154765,6.5480169468114,5.18743354562055,2.89597109993175e-05,0.00742575256207501,2.55500210806856
"286","1418265_s_at","Irf2","16363","interferon regulatory factor 2",-0.864007234043465,8.10648406995406,-5.0923658403143,3.66481084627692e-05,0.00842607150869215,2.33590502344601
"1198","1429262_at","Rassf6","73246","Ras association (RalGDS/AF-6) domain family member 6",1.00807860656158,6.53725792145349,5.0153690804204,4.43649048724919e-05,0.00842607150869215,2.15803072630592
"1383","1433768_at","Palld","72333","palladin, cytoskeletal associated protein",0.894664135349929,8.71903891783463,4.99599167266195,4.65528812634925e-05,0.00842607150869215,2.11321148993768
"1886","1438842_at","Mtch2","56428","mitochondrial carrier 2",1.19889370927558,3.78178539482414,5.0457792236819,4.11382883883795e-05,0.00842607150869215,2.22832520459119
"2171","1445669_at","Spry4","24066","sprouty RTK signaling antagonist 4",-1.39048282825344,5.93528126774907,-5.04717433111443,4.09960768201808e-05,0.00842607150869215,2.23154876377073
"1209","1429396_at","Atg16l2","73683","autophagy related 16-like 2 (S. cerevisiae)",1.33340312826289,6.11125377417394,4.96078806033578,5.08101079278822e-05,0.00868570567189408,2.0317347146099
"1996","1440444_at","Fads1","76267","fatty acid desaturase 1",1.26653822786184,5.89316801223083,4.84898655766306,6.71132424021649e-05,0.0108688129932348,1.7725749740774
"763","1424504_at","Rab22a","19334","RAB22A, member RAS oncogene family",0.903223525875338,5.6917768619194,4.73131301292956,8.99997150768471e-05,0.0138464561645729,1.49926512877347
"457","1419985_s_at","Ccdc69","52570","coiled-coil domain containing 69",0.828558317516784,2.79247180765472,4.67613890627022,0.000103289018847247,0.0144463777724081,1.3709753861782
"1781","1437633_at","Ankrd11","77087","ankyrin repeat domain 11",0.815909828493054,6.59613751815994,4.69299427640024,9.9032563657456e-05,0.0144463777724081,1.41017488669283
"1177","1429049_at","Nuak2","74137","NUAK family, SNF1-like kinase, 2",-0.833251118843521,7.08121988930038,-4.65203939498222,0.000109695802129971,0.0146753905719096,1.3149183237441
"2186","1446316_at","Lpin2","64898","lipin 2",1.95315154226784,5.13819257568989,4.61183727873644,0.000121283200223372,0.0155495169619715,1.22138263691756
"1926","1439397_at","Fmn1","14260","formin 1",1.1583215727489,5.34898540089279,4.58307770704394,0.000130318522645675,0.0160396037672297,1.15445568567472
"357","1418918_at","Igfbp1","16006","insulin-like growth factor binding protein 1",2.71094475940867,10.8636216588578,4.50977857154243,0.000156516445127912,0.0161916465252838,0.983849123758391
"1534","1435158_at","Rbm12b1","72397","RNA binding motif protein 12 B1",1.25487775020094,4.61392029535681,4.43989812055617,0.000186388158137403,0.0161916465252838,0.821194772783221
"1840","1438242_at","Usp40","227334","ubiquitin specific peptidase 40",0.785717085710214,5.87837323308738,4.48322412292309,0.00016725733533772,0.0161916465252838,0.922038856420265
"1855","1438450_at","Lin7a","108030","lin-7 homolog A (C. elegans)",-0.764405477984364,6.69313910141274,-4.43340595607703,0.00018943752840761,0.0161916465252838,0.806084914131401
"1871","1438643_at","Camk1d","227541","calcium/calmodulin-dependent protein kinase ID",1.40521322401048,6.99773129600753,4.53661424034272,0.000146363106435514,0.0161916465252838,1.04631335478009
"1954","1439795_at","Adgrg2","237175","adhesion G protein-coupled receptor G2",-0.77207241887759,3.244729052653,-4.50363572111696,0.000158938081365001,0.0161916465252838,0.969550498149839
"2002","1440576_at","Cpn1","93721","carboxypeptidase N, polypeptide 1",1.07438523735844,6.81557948326871,4.4968105655587,0.000161672706253656,0.0161916465252838,0.9536636784176
"2397","1450035_a_at","Prpf40a","56194","pre-mRNA processing factor 40A",1.12267578413448,6.90722404698427,4.45100044591074,0.000181286697026024,0.0161916465252838,0.847035105254952
"2900","1456327_at","A530020G20Rik","319839","RIKEN cDNA A530020G20 gene",1.10749949011605,4.44375143984594,4.55381485909223,0.000140204836416795,0.0161916465252838,1.08634902771564
"3020","1459909_at","Nfix","18032","nuclear factor I/X",-0.99348433535419,6.32213872698396,-4.45434765886915,0.000179776241169158,0.0161916465252838,0.854825816824172
"3076","1460729_at","Rock1","19877","Rho-associated coiled-coil containing protein kinase 1",0.998322465397067,6.34819105062424,4.44901926773556,0.000182186691473801,0.0161916465252838,0.842423905192655
"1830","1438169_a_at","Frmd4b","232288","FERM domain containing 4B",0.964456173167548,10.283457106792,4.4133563934055,0.000199173249281868,0.0165636780551435,0.759424174113076
"2219","1447791_s_at","Gna14","14675","guanine nucleotide binding protein, alpha 14",-0.821159726012399,3.87143324185903,-4.38128900268189,0.000215794600252422,0.0174736838151764,0.684805073537832
"1354","1433481_at","Fkbp14","231997","FK506 binding protein 14",0.928607140859098,5.80294499925253,4.36700105140134,0.000223639946878098,0.0176446183729207,0.651562887992141
"1238","1429899_at","5730414N17Rik","70524","RIKEN cDNA 5730414N17 gene",-0.868524170664973,7.32181476742828,-4.32960736241815,0.000245546716503874,0.0179892201591052,0.564581818664426
"2103","1443327_at","D130043K22Rik","210108","RIKEN cDNA D130043K22 gene",1.16715647452585,5.39935794432678,4.34320849750597,0.000237341184917884,0.0179892201591052,0.596215863422931
"2539","1451799_at","Ccdc25","67179","coiled-coil domain containing 25",1.32820059633016,4.7929434312364,4.33338204462796,0.000243241486610574,0.0179892201591052,0.573360699560028
"259","1418069_at","Apoc2","11813","apolipoprotein C-II",0.766768306381794,12.3062222705832,4.32002387509566,0.000251497839219403,0.0179967174715838,0.542294764133854
"167","1417273_at","Pdk4","27273","pyruvate dehydrogenase kinase, isoenzyme 4",2.30897730060342,6.65866362953149,4.28296427025275,0.000275896409676827,0.0192939375585363,0.45613275799534
"963","1426831_at","Ahcyl1","229709","S-adenosylhomocysteine hydrolase-like 1",0.690838278533565,7.95209661379821,4.26581331286749,0.000287973283865225,0.0196909732100733,0.416271119114923
"339","1418760_at","Rdh11","17252","retinol dehydrogenase 11",1.26447982859431,8.71408474537258,4.2423679091862,0.000305339159650737,0.0197128231606128,0.361795891680311
"931","1426485_at","Ubxn4","67812","UBX domain protein 4",1.17958304729922,9.63646345997134,4.23952791435599,0.000307512353496722,0.0197128231606128,0.355198498500228
"2393","1449945_at","Ppargc1b","170826","peroxisome proliferative activated receptor, gamma, coactivator 1 beta",-0.914827565238013,7.78964933363703,-4.24730091671685,0.000301600677391971,0.0197128231606128,0.373256108953983
"1153","1428851_at","Pxdc1","66895","PX domain containing 1",0.848452855744132,9.91913665213217,4.22099169967807,0.000322079837547061,0.0202252991863736,0.312145735591677
"361","1418940_at","Sult1b1","56362","sulfotransferase family 1B, member 1",-0.68140020932945,7.92769079557661,-4.18122915794335,0.00035568783471272,0.0211030665108561,0.219839059111673
"485","1420630_at","Fam234b","74525","family with sequence similarity 234, member B",-0.613698939700918,7.04871231345397,-4.19131152757255,0.000346849352809695,0.0211030665108561,0.243238324951635
"2722","1454558_at","5430416B10Rik","71430","RIKEN cDNA 5430416B10 gene",1.16447433955081,4.98483463437483,4.18016586841512,0.000356632908210762,0.0211030665108561,0.217371633090302
"2179","1445881_at","2310035P21Rik","75683","RIKEN cDNA 2310035P21 gene",1.64441717769793,4.62335701802853,4.15515205997497,0.000379600723536723,0.0212369350240454,0.159340928109426
"2467","1451022_at","Lrp6","16974","low density lipoprotein receptor-related protein 6",0.739984590526896,5.74405113239545,4.16897544095241,0.000366731961139722,0.0212369350240454,0.191406756307705
"2640","1452864_at","Med12l","329650","mediator complex subunit 12-like",-0.671219617360173,4.7986752562045,-4.15831176927053,0.000376620181735192,0.0212369350240454,0.16666962355889
"278","1418209_a_at","Pfn2","18645","profilin 2",-0.928921674050425,6.13299910744183,-4.12022341308854,0.000414152897750276,0.0226238855744365,0.0783608070977042
"798","1424770_at","Cald1","109624","caldesmon 1",0.93115533501944,10.216862235934,4.11546386457029,0.000419097002841365,0.0226238855744365,0.0673311160041026
"2932","1456914_at","Slc16a4","229699","solute carrier family 16 (monocarboxylic acid transporters), member 4",1.20095878732455,4.44130264498102,4.05621308674966,0.000485779536507177,0.0257714419626308,-0.0698639780688071
"1294","1431101_a_at","Srd5a1","78925","steroid 5 alpha-reductase 1",0.736994083144054,7.917665375416,4.03310423996342,0.000514552791229245,0.0263879823102065,-0.12331197438335
"1849","1438404_at","Rnf144a","108089","ring finger protein 144A",0.80014323088662,6.59644006648813,4.03967946648939,0.000506197998623269,0.0263879823102065,-0.1081079453144
"2095","1443046_at","Abcd3","19299","ATP-binding cassette, sub-family D (ALD), member 3",0.99606475447969,4.16253765160045,4.02377190636544,0.000526646199879879,0.0265654156890227,-0.144886154584476
"1148","1428832_at","Tedc2","72016","tubulin epsilon and delta complex 2",-0.9297578681247,8.97422782121621,-4.01395598557648,0.000539670454006158,0.0267833223705959,-0.167571603138442
"788","1424687_at","Heatr6","217026","HEAT repeat containing 6",0.982783410175844,4.37025403223008,4.00563763368551,0.00055095726064689,0.0267903205757475,-0.186790567796749
"1339","1432543_a_at","Klf13","50794","Kruppel-like factor 13",-0.818609858128058,7.48382024428771,-3.99743230730626,0.000562319871107029,0.0267903205757475,-0.205743376144214
"1460","1434449_at","Aqp4","11829","aquaporin 4",1.31825385059851,4.92823535432833,3.99485870309827,0.000565931373878318,0.0267903205757475,-0.211686890867587
"2069","1442277_at","Chka","12660","choline kinase alpha",1.71524014295925,7.10041704460111,3.98754447951653,0.000576321281211697,0.0268687967013393,-0.22857569950617
"94","1416661_at","Eif3a","13669","eukaryotic translation initiation factor 3, subunit A",0.992574666880571,7.40861792261383,3.96905713045735,0.000603432748196783,0.0273053318559045,-0.271245113468913
"415","1419499_at","Gpam","14732","glycerol-3-phosphate acyltransferase, mitochondrial",0.986342268757406,12.0309822917948,3.97434130581426,0.000595557172641683,0.0273053318559045,-0.259051815720248
"720","1424029_at","Tspyl4","72480","TSPY-like 4",1.31432625875666,6.04210281541229,3.92716771105727,0.000669624347004815,0.0294347730819116,-0.367823993817325
"1021","1427347_s_at","Tubb2a","22151","tubulin, beta 2A class IIA",0.968606806425845,10.9988885943592,3.93159017621283,0.000662309969988945,0.0294347730819116,-0.357634738836231
"569","1421957_a_at","Pcyt1a","13026","phosphate cytidylyltransferase 1, choline, alpha isoform",0.63247341641461,7.22365617699108,3.90023260569492,0.00071592974768374,0.0310269835721531,-0.429844260222869
"356","1418858_at","Aox3","71724","aldehyde oxidase 3",-1.09796256104373,11.3562481160435,-3.86732212111147,0.000776822540159157,0.0320090692256041,-0.505531921581471
"1740","1437129_at","Oga","76055","O-GlcNAcase",1.13875474499644,5.01255755174449,3.86557133817541,0.000780201557335167,0.0320090692256041,-0.509555450525533
"1879","1438752_at","A230058F20Rik","320270","RIKEN cDNA A230058F20 gene",0.8481826598078,3.02619754753024,3.87545515040227,0.000761314379587736,0.0320090692256041,-0.486837213478553
"2552","1451920_a_at","Rfc1","19687","replication factor C (activator 1) 1",1.02298191823932,5.11292453682193,3.87682518487969,0.000758732256461445,0.0320090692256041,-0.483687397229406
"2421","1450545_a_at","Dntt","21673","deoxynucleotidyltransferase, terminal",1.3530266279763,5.27222989396256,3.85145303496103,0.000807985800035208,0.0327127935093202,-0.541990020547138
"1432","1434206_s_at","Ppp2r5c","26931","protein phosphatase 2, regulatory subunit B', gamma",0.664196009139295,5.08116241957645,3.82286657019486,0.000867268496384631,0.0346569501737079,-0.607600523351638
"237","1417871_at","Hsd17b7","15490","hydroxysteroid (17-beta) dehydrogenase 7",0.859971353396814,7.23193898636716,3.79644118283668,0.000925876766886155,0.0347429611183988,-0.668173618600179
"850","1425326_at","Acly","104112","ATP citrate lyase",1.58326520258903,8.11903959795801,3.80140144979055,0.000914585421316136,0.0347429611183988,-0.656809374498737
"881","1425668_a_at","St3gal4","20443","ST3 beta-galactoside alpha-2,3-sialyltransferase 4",-0.792247233247588,7.6696286706943,-3.79778972915323,0.00092279345696984,0.0347429611183988,-0.665084295614
"947","1426622_a_at","Qpct","70536","glutaminyl-peptide cyclotransferase (glutaminyl cyclase)",-0.668499485414792,6.21708364054436,-3.81585524828501,0.000882452130764714,0.0347429611183988,-0.623679490673323
"1396","1433888_at","Atp2b2","11941","ATPase, Ca++ transporting, plasma membrane 2",1.37206185127683,4.36387447459133,3.80930058780573,0.000896883873019721,0.0347429611183988,-0.638706406218544
"1281","1430820_a_at","Bbx","70508","bobby sox HMG box containing",0.980037039796701,5.18472325704962,3.78352587061946,0.000955925539543454,0.0354383480141591,-0.697750372737305
"2292","1448663_s_at","Mvd","192156","mevalonate (diphospho) decarboxylase",1.09325327833109,6.81177787581223,3.76856514311112,0.000991936294154447,0.0363355711561099,-0.731987436774308
"1874","1438665_at","Smpd3","58994","sphingomyelin phosphodiesterase 3, neutral",0.999251695027414,3.77571441999599,3.76217777502137,0.00100771497985836,0.0364792822708726,-0.746596758995382
"2065","1442129_at","1810058I24Rik","67705","RIKEN cDNA 1810058I24 gene",-0.593902633864047,7.12522976213533,-3.75295630031902,0.00103093179968829,0.0368857807865218,-0.767679797841979
"488","1420655_at","Pnpla3","116939","patatin-like phospholipase domain containing 3",2.03143222478311,5.72063381272475,3.74455219307591,0.00105254913252454,0.0372263641468736,-0.786885217755098
"280","1418230_a_at","Lims1","110829","LIM and senescent cell antigen-like domains 1",0.678046077488316,6.96656139709391,3.72359498125527,0.00110841915445408,0.0383967716224109,-0.834739894615021
"1095","1428386_at","Acsl3","74205","acyl-CoA synthetase long-chain family member 3",1.24173768287289,4.49424382604664,3.7227985921564,0.00111059885420688,0.0383967716224109,-0.836557330415073
"1561","1435417_at","Myorg","329828","myogenesis regulating glycosidase (putative)",-0.666365131880807,7.73563619499363,-3.71158137372947,0.00114175195014777,0.0389875068243133,-0.862147574872472
"2788","1455165_at","Rora","19883","RAR-related orphan receptor alpha",0.777668067759052,8.29035264362708,3.70759578050144,0.00115302668866185,0.0389875068243133,-0.871236191158787
"1653","1436447_at","A630026N12Rik","320961","RIKEN cDNA A630026N12 gene",1.11080247768949,4.70082313339777,3.69985797113375,0.00117522956004553,0.0393063190897838,-0.888875389470968
"138","1417017_at","Cyp17a1","13074","cytochrome P450, family 17, subfamily a, polypeptide 1",1.12331657311934,7.07481951741867,3.6347083863053,0.00137961748623373,0.0418273746272806,-1.03707285784374
"390","1419254_at","Mthfd2","17768","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase",0.956656898806822,3.84221919290331,3.63428202565078,0.00138106385195863,0.0418273746272806,-1.03804076913031
"611","1422656_at","Rasl2-9","19428","RAS-like, family 2, locus 9",-0.564751560899264,4.11641163232937,-3.6093989227972,0.00146810414681388,0.0418273746272806,-1.09448396819252
"1040","1427537_at","Eppk1","223650","epiplakin 1",-0.995828554544715,7.51903472892531,-3.61371597171806,0.00145262665863939,0.0418273746272806,-1.08469796122109
"1471","1434520_at","Sc5d","235293","sterol-C5-desaturase",0.830616208791406,9.03022816066768,3.65749629531973,0.00130443914983591,0.0418273746272806,-0.985302917186463
"1769","1437497_a_at","Hsp90aa1","15519","heat shock protein 90, alpha (cytosolic), class A member 1",1.01754776527441,9.31047872520013,3.62972349452179,0.00139662132556942,0.0418273746272806,-1.0483877784814
"1921","1439342_at","Clpx","270166","caseinolytic mitochondrial matrix peptidase chaperone subunit",1.60525238854222,7.00944126191533,3.62316073306121,0.00141932135988698,0.0418273746272806,-1.06327874195244
"2156","1444518_at","Acox1","11430","acyl-Coenzyme A oxidase 1, palmitoyl",1.39256652421368,7.36827022546462,3.63848076278059,0.00136688486499257,0.0418273746272806,-1.02850778766537
"2175","1445843_at","Chd2","244059","chromodomain helicase DNA binding protein 2",0.643376185419097,5.24858570195105,3.61935384312324,0.00143265457817389,0.0418273746272806,-1.07191373700515
"2278","1448551_a_at","Trim2","80890","tripartite motif-containing 2",0.783803795292878,5.73066732444394,3.64461601855421,0.00134642296015968,0.0418273746272806,-1.01457354170598
"2365","1449486_at","Ces1g","12623","carboxylesterase 1G",-0.771428641188029,9.89523321997268,-3.66592994301335,0.00127764874766913,0.0418273746272806,-0.966124832251394
"2434","1450725_s_at","Car14","23831","carbonic anhydrase 14",-0.677202345355566,8.56929046358977,-3.62797156509452,0.00140264600045462,0.0418273746272806,-1.05236353239369
"2628","1452708_a_at","Luc7l","66978","Luc7-like",0.767884994724297,5.2511017581211,3.61678587806944,0.00144171792583538,0.0418273746272806,-1.07773733706635
"2703","1453840_at","Pabpc1","18458","poly(A) binding protein, cytoplasmic 1",-0.721505417069647,6.55275583740735,-3.61095161205522,0.0014625189060849,0.0418273746272806,-1.09096460669808
"2798","1455229_x_at","Pgs1","74451","phosphatidylglycerophosphate synthase 1",0.702837313166646,5.48738065249681,3.62936382530639,0.00139785610942826,0.0418273746272806,-1.04920403263102
"2953","1457342_at","Ikzf4","22781","IKAROS family zinc finger 4",-0.797238751710827,3.87221019662493,-3.64899936084006,0.00133198842363681,0.0418273746272806,-1.00461493948288
"1556","1435391_at","Rbm33","381626","RNA binding motif protein 33",0.80925781246603,5.13465036106637,3.60323990935711,0.00149046579153425,0.0420748921151458,-1.10844059660804
"2957","1457458_at","Zc3h4","330474","zinc finger CCCH-type containing 4",0.755737740217395,4.50574200607067,3.59189901672238,0.00153251844393959,0.0428687204727465,-1.13412472042843
"2708","1454067_a_at","4931406C07Rik","70984","RIKEN cDNA 4931406C07 gene",0.664041583530885,9.7221492218414,3.5758109715092,0.001594175475192,0.0441916931276197,-1.17052625062497
"3045","1460258_at","Cnmd","16840","chondromodulin",-0.907936075963605,6.31344486498616,-3.55929952374713,0.00165998139133619,0.0456050244744773,-1.20784393454267
"183","1417406_at","Sertad1","55942","SERTA domain containing 1",-0.773141984506639,6.5347744322003,-3.53886195459632,0.00174512724544102,0.0475199693293984,-1.25397495900271
"919","1426263_at","Cadm4","260299","cell adhesion molecule 4",-0.630190188070486,6.39124927815598,-3.53475889059482,0.00176272936107013,0.0475782302106386,-1.26322810037636
"1187","1429185_at","Arhgef26","622434","Rho guanine nucleotide exchange factor (GEF) 26",-1.19147598259408,8.52226897137289,-3.52897199405087,0.00178785074657954,0.0478366673671761,-1.2762738833182
"270","1418133_at","Bcl3","12051","B cell leukemia/lymphoma 3",-0.794505827351951,6.87182712627448,-3.50473370899115,0.00189693077683199,0.047848706492432,-1.33085518307344
"1395","1433884_at","Syt1","20979","synaptotagmin I",-0.623216924721604,6.5990131107304,-3.52019019671692,0.0018266436951678,0.047848706492432,-1.29606067441505
"1429","1434188_at","Slc16a12","240638","solute carrier family 16 (monocarboxylic acid transporters), member 12",-0.611515581518105,7.50944003340393,-3.49806704189157,0.00192805683545014,0.047848706492432,-1.34585015876083
"1800","1437774_at","Oip5os1","66602","Opa interacting protein 5, opposite strand 1",0.693391172654368,6.37895624293709,3.49802500749645,0.00192825466527838,0.047848706492432,-1.34594468027246
"2037","1441607_at","AU015603","103336","expressed sequence AU015603",0.621304246492793,5.44887802796399,3.50025837467325,0.00191777102045667,0.047848706492432,-1.34092215235065
"2306","1448830_at","Dusp1","19252","dual specificity phosphatase 1",-1.19954542934164,10.3368803603041,-3.51002556467614,0.00187257381865345,0.047848706492432,-1.31894709516089
"2520","1451621_at","Desi2","78825","desumoylating isopeptidase 2",0.838768698758291,6.34422643822394,3.51809138527143,0.00183603625584793,0.047848706492432,-1.30078772697957
"2672","1453220_at","Nxpe2","78252","neurexophilin and PC-esterase domain family, member 2",-0.925922131432062,6.39389544134789,-3.49899044434524,0.00192371595409965,0.047848706492432,-1.343773654078
"2675","1453263_at","Naa35","78689","N(alpha)-acetyltransferase 35, NatC auxiliary subunit",0.811623810208956,5.33420329186514,3.50333750913453,0.00190340857176472,0.047848706492432,-1.33399621018372
"86","1416525_at","Spop","20747","speckle-type BTB/POZ protein",0.590796590570538,7.45784059095132,3.49455006624315,0.00194467785460242,0.0478701900688931,-1.3537576258183
"1163","1428923_at","Ppp1r3g","76487","protein phosphatase 1, regulatory subunit 3G",1.80570751642353,4.80692284713203,3.46889858692922,0.00207021245990327,0.0505559026914473,-1.41136642156522
"966","1426863_at","Rbmx","19655","RNA binding motif protein, X chromosome",0.82911227470706,5.03941361567048,3.46437290156249,0.00209316721978258,0.050713980592685,-1.42151825160053
"58","1416281_at","Wdr45b","66840","WD repeat domain 45B",-0.634075488065186,9.14066716017781,-3.43105991924006,0.00226994980109645,0.0509121820807128,-1.49613014256685
"383","1419185_a_at","Mlxipl","58805","MLX interacting protein-like",0.758714708877607,9.51011055418784,3.43697569438832,0.00223752688064651,0.0509121820807128,-1.48289533979392
"1056","1427937_at","Vma21","67048","VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)",0.600556869288794,7.04913958310082,3.4444064044889,0.00219744052704182,0.0509121820807128,-1.46626212518189
"1275","1430646_at","5830407P18Rik","78818","RIKEN cDNA 5830407P18 gene",0.750969308739757,4.51616054747088,3.45802639255872,0.00212577644603789,0.0509121820807128,-1.43574828342272
"1417","1434087_at","Mthfr","17769","methylenetetrahydrofolate reductase",0.948210846713676,6.69425084810546,3.42863822642977,0.00228335428246291,0.0509121820807128,-1.50154608313721
"1622","1436050_x_at","Hes6","55927","hairy and enhancer of split 6",0.629060523728544,9.49584602555224,3.43561453886679,0.0022449467949286,0.0509121820807128,-1.48594110057088
"1623","1436054_at","Khnyn","219094","KH and NYN domain containing",0.909710955024855,6.95428523185956,3.43541953230344,0.002246011775853,0.0509121820807128,-1.48637742469551
"1920","1439331_at","4932439E07Rik","103405","RIKEN cDNA 4932439E07 gene",1.63439401324083,5.73616607757613,3.45125828372657,0.00216109827301374,0.0509121820807128,-1.450915593153
"2248","1448300_at","Mgst3","66447","microsomal glutathione S-transferase 3",-0.643812930811128,7.99027079542897,-3.43047076445542,0.00227320379190389,0.0509121820807128,-1.49744784552666
"2505","1451460_a_at","Slc22a7","108114","solute carrier family 22 (organic anion transporter), member 7",-1.45683924425932,9.12575878052983,-3.45310629734374,0.00215139729545853,0.0509121820807128,-1.44677502660007
"2917","1456542_s_at","Qrsl1","76563","glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1",0.639864540833811,6.95531380766913,3.43821447035398,0.00223079487574959,0.0509121820807128,-1.4801231203385
"2131","1443942_at","Gabpb2","213054","GA repeat binding protein, beta 2",0.718179017569087,4.31729345809314,3.42340175670576,0.00231260346290722,0.0511933874486729,-1.51325330802594
"1857","1438473_at","Arl15","218639","ADP-ribosylation factor-like 15",-0.572237503866304,5.42101056283819,-3.41585234857674,0.00235541582721126,0.0517686750023503,-1.53012248514421
"1051","1427893_a_at","Pmvk","68603","phosphomevalonate kinase",0.733819849689125,8.38844902545721,3.40904675143772,0.00239467149181828,0.0518901702839778,-1.5453203263849
"2673","1453238_s_at","3930401B19Rik","77570","RIKEN cDNA 3930401B19 gene",0.63416644153347,10.7269398287642,3.41078469766847,0.00238458656827844,0.0518901702839778,-1.5414400931501
"114","1416846_a_at","Pdzrn3","55983","PDZ domain containing RING finger 3",-1.02807235496852,5.40904118751697,-3.39393042760485,0.00248415881844174,0.0534528439464701,-1.5790453013134
"72","1416411_at","Gstm2","14863","glutathione S-transferase, mu 2",0.691818972170752,8.42752064253473,3.37272247729587,0.00261521845843815,0.0544113446339433,-1.62628553661283
"695","1423693_at","Cela1","109901","chymotrypsin-like elastase family, member 1",-0.756346307939344,9.17318086827929,-3.37242241014802,0.00261712024888645,0.0544113446339433,-1.62695328933487
"789","1424698_s_at","Gca","227960","grancalcin",0.783993965736852,5.98974282016885,3.37378620517658,0.00260848750460589,0.0544113446339433,-1.62391823081617
"1362","1433589_at","Washc2","28006","WASH complex subunit 2`",0.728470198240127,5.567352812841,3.37559790678743,0.00259706238873516,0.0544113446339433,-1.61988580390023
"1908","1439131_at","Txlng","353170","taxilin gamma",0.623768994658322,4.06170706269171,3.37730147742155,0.00258636361991098,0.0544113446339433,-1.61609345461435
"2268","1448451_at","Ak2","11637","adenylate kinase 2",0.484162765480868,9.46592499882132,3.3605887731978,0.0026932029744507,0.0556173527005691,-1.65327278190625
"66","1416365_at","Hsp90ab1","15516","heat shock protein 90 alpha (cytosolic), class B member 1",0.890568323670696,11.1903279071124,3.3503987233268,0.00276043911719107,0.0565388531942265,-1.67591399444395
"242","1417883_at","Gstt2","14872","glutathione S-transferase, theta 2",0.696969779323007,8.94220187279224,3.34828710007321,0.00277457485613526,0.0565388531942265,-1.68060314216122
"1390","1433837_at","Depp1","213393","DEPP1 autophagy regulator",2.27480061764153,9.23252929436792,3.32369842938295,0.0029444470160678,0.0584520223770364,-1.73513758974079
"2679","1453282_at","Cxadr","13052","coxsackie virus and adenovirus receptor",0.650338001686348,8.77314148905934,3.32760301077801,0.00291681265024376,0.0584520223770364,-1.72648618282893
"2758","1454906_at","Rarb","218772","retinoic acid receptor, beta",0.910400689298752,4.4015294489876,3.32637548548743,0.00292547309380546,0.0584520223770364,-1.72920636507505
"3019","1459894_at","Iqgap2","544963","IQ motif containing GTPase activating protein 2",0.660394887761308,10.1685384823813,3.32729416789917,0.00291898925216621,0.0584520223770364,-1.72717060503817
"889","1425774_at","Srrm4","68955","serine/arginine repetitive matrix 4",-0.565606604948128,4.32541958464515,-3.30220991368016,0.00310114107478506,0.0604183279569383,-1.78269181887236
"1264","1430505_at","Tmem219","68742","transmembrane protein 219",0.736717186725759,5.66188936478603,3.30310779751683,0.00309443461594041,0.0604183279569383,-1.78070677934497
"1348","1433203_at","6030400A10Rik","77069","RIKEN cDNA 6030400A10 gene",1.2568976816505,6.67597338207906,3.30204109589534,0.00310240358049927,0.0604183279569383,-1.78306502137243
